abbrev_source_title,abstract,address,affiliation,affiliations,art_number,author,author_keywords,chemicals_cas,coden,correspondence_address,correspondence_address1,document_type,doi,editor,funding_details,funding_text 1,funding_text 2,funding_text 3,isbn,issn,journal,keywords,language,note,number,page_count,pages,pmid,publication_stage,publisher,pubmed_id,references,source,sponsors,title,tradenames,url,volume,year,affiliation_,author_email,booktitle,da,doc_delivery_number,earlyaccessdate,eissn,funding_acknowledgement,funding_text,meeting,month,note_,number_of_cited_references,oa,orcid_numbers,organization,research_areas,researcherid_numbers,series,unique_id,usage_count_last_180_days,usage_count_since_2013,web_of_science_categories,web_of_science_index
World Dev.,"Gender is seminal to agrobiodiversity management, and inequities are likely to be exacerbated under a changing climate. Using in-depth interviews with farmers and officials from government and non-government organizations in Nepal, we explore how gender relations are influenced by wider socio-economic changes, and how alterations in gender relations shape responses to climate change. Combining feminist political ecology and critical social-ecological systems thinking, we analyze how gender and adaptation interact as households abandon certain crops, adopt high-yielding varieties and shift to cash crops. We argue that the prevailing development paradigm reinforces inequitable gender structures in agrobiodiversity management, undermining adaptation to the changing climate. © 2015 Elsevier Ltd.",UNKNOW,"The University of Melbourne, Carlton, Australia","The University of Melbourne, Carlton, Australia",UNKNOW,"Bhattarai, Basundhara and Beilin, Ruth and Ford, Rebecca",Adaptation; Agrobiodiversity management; Climate change; Gender; Nepal,UNKNOW,UNKNOW,UNKNOW,UNKNOW,Article,10.1016/j.worlddev.2015.01.003,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,0305750X,World Development,Himalayas; Nepal; adaptive management; agricultural management; biodiversity; climate change; gender relations,English,Cited by: 108,UNKNOW,UNKNOW,122 – 132,UNKNOW,Final,Elsevier Ltd,UNKNOW,UNKNOW,Scopus,UNKNOW,"Gender, Agrobiodiversity, and Climate Change: A Study of Adaptation Practices in the Nepal Himalayas",UNKNOW,https://www.scopus.com/inward/record.uri?eid,70,2015,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW
Global Environ. Change,"This paper investigates the relative importance of climate change in the context of multiple stressors in semi-arid Ghana. It draws upon ethnographic research in two agrarian villages, and integrates theories from resilience, vulnerability and feminist political ecology. The findings empirically demonstrate that many farmers do not worry about climate change, even in situations where local perceptions and the climate data show a clear pattern of variability. Additionally, the paper provides evidence of a 'gendered double exposure,' whereby patriarchy and local culture shape how different social groups are impacted by climate change. Overall, the emerging findings suggest that an overemphasis on scenario-based climate change impacts may detract attention from equally important non-climatic factors that loom large in people's lives. The article's central argument is not meant to downplay the ongoing impacts of climate change in Africa. It rather suggests that climate change should be addressed as one problem among many socio-ecological challenges facing smallholder farmers. © 2015 Elsevier Ltd.",UNKNOW,"Department of Geography, The University of Western Ontario, 1151 Richmond Street North, London, N6A 5C2, ON, Canada; Department of Development Sociology, Cornell University, 122 Academic Surge A, Ithaca, 14853, NY, United States","Department of Geography, The University of Western Ontario, 1151 Richmond Street North, London, N6A 5C2, ON, Canada; Department of Development Sociology, Cornell University, 122 Academic Surge A, Ithaca, 14853, NY, United States",UNKNOW,"Nyantakyi-Frimpong, Hanson and Bezner-Kerr, Rachel",Climate change; Gender; Local knowledge; Multiple stressors; Resilience; Vulnerability,UNKNOW,GECHE,"H. Nyantakyi-Frimpong; Department of Geography, The University of Western Ontario, London, 1151 Richmond Street North, N6A 5C2, Canada; email: hnyantak@uwo.ca",UNKNOW,Article,10.1016/j.gloenvcha.2015.03.003,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,09593780,Global Environmental Change,Ghana; agrarian change; climate change; data set; ecosystem resilience; gender; perception; semiarid region; smallholder; vulnerability,English,Cited by: 148,UNKNOW,UNKNOW,40 – 56,UNKNOW,Final,Elsevier Ltd,UNKNOW,UNKNOW,Scopus,UNKNOW,The relative importance of climate change in the context of multiple stressors in semi-arid Ghana,UNKNOW,https://www.scopus.com/inward/record.uri?eid,32,2015,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW
Ocean Coast. Manage.,UNKNOW,UNKNOW,"School of Marine and Environmental Affairs, University of Washington, Seattle, WA, United States; Department of Marine Affairs and Coastal Resources Center, University of Rhode Island, Kingston, RI, United States","School of Marine and Environmental Affairs, University of Washington, Seattle, WA, United States; Department of Marine Affairs and Coastal Resources Center, University of Rhode Island, Kingston, RI, United States",UNKNOW,"Graziano, Kathryn and Pollnac, Richard and Christie, Patrick",UNKNOW,UNKNOW,OCMAE,"K. Graziano; Seattle, 8224 Meridian Ave. N., 98103, United States; email: kag247@cornell.edu",UNKNOW,Article,10.1016/j.ocecoaman.2018.01.029,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,09645691,Ocean and Coastal Management,Philippines; adaptive management; climate change; coastal zone management; conservation status; nature conservation; nongovernmental organization,English,"Cited by: 13; All Open Access, Bronze Open Access",UNKNOW,UNKNOW,24 – 33,UNKNOW,Final,Elsevier Ltd,UNKNOW,UNKNOW,Scopus,UNKNOW,Wading past assumptions: Gender dimensions of climate change adaptation in coastal communities of the Philippines,UNKNOW,https://www.scopus.com/inward/record.uri?eid,162,2018,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW
Gender Dev.,"Vulnerability to environmental degradation and natural hazards is articulated along social, poverty, and gender lines. Just as gender is not sufficiently mainstreamed in many areas of development policy and practice, so the potential impacts of climate change on gender relations have not been studied, and remain invisible. In this article we outline climate change predictions, and explore the effects of long-term climate change on agriculture, ecological systems, and gender relations, since these could be significant. We identify predicted changes in natural hazard frequency and intensity as a result of climate change, and explore the gendered effects of natural hazards. We highlight the urgent need to integrate gender analyses into public policy-making, and in adaptation responses to climate change.",UNKNOW,"Livelihoods and Institutions Group, Natural Resources Institute, University of Greenwich, Chatham, Kent ME4 4TB, Central Avenue, United Kingdom","Livelihoods and Institutions Group, Natural Resources Institute, University of Greenwich, Chatham, Kent ME4 4TB, Central Avenue, United Kingdom",UNKNOW,"Nelson, Valerie and Meadows, Kate and Cannon, Terry and Morton, John and Martin, Adrienne",UNKNOW,UNKNOW,UNKNOW,"V. Nelson; Livelihoods and Institutions Group, Natural Resources Institute, University of Greenwich, Chatham, Kent ME4 4TB, Central Avenue, United Kingdom; email: v.j.nelson@gre.ac.uk",UNKNOW,Article,10.1080/13552070215911,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,13552074,Gender and Development,climate change; gender relations; natural hazard; vulnerability,English,Cited by: 169,2,UNKNOW,51 – 59,UNKNOW,Final,UNKNOW,UNKNOW,UNKNOW,Scopus,UNKNOW,"Uncertain predictions, invisible impacts, and the need to mainstream gender in climate change adaptations",UNKNOW,https://www.scopus.com/inward/record.uri?eid,10,2002,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW
Handbook of Climate Change Adaptation,"This chapter examines the relationship of climate change, health, and gender in the Pacific region; identifies gaps in research, capacity, and support; and proposes a framework illustrating the practical adaptation measures to be applied in strengthening the Papua New Guinea’s (PNG) public health sector capacity and policy. Using literature review as the research method, the study found that although other countries in the pacific are mostly affected by the climate change impacts, PNG remains highly affected by the climate-induced health impacts. Hence, a case study on Papua New Guinea was prepared. The chapter provides a practical understanding and knowledge on emerging health threats, gender issues, and adaptation measures to strengthen the Pacific and PNG’s public health system. The framework presented in this chapter could be highly beneficial not only for PNG but also for the whole Pacific region. © Springer-Verlag Berlin Heidelberg 2015.",UNKNOW,"Asian Development Bank, Manila, Philippines","Asian Development Bank, Manila, Philippines",UNKNOW,"Regmi, Sabrina",Adaptation measures; Climate change; Gender; Health; Pacific; PNG,UNKNOW,UNKNOW,UNKNOW,UNKNOW,Book chapter,10.1007/978-3-642-38670-1_15,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,978-364238670-1; 978-364238669-5,UNKNOW,Handbook of Climate Change Adaptation,UNKNOW,English,Cited by: 4,UNKNOW,UNKNOW,319 – 335,UNKNOW,Final,Springer Berlin Heidelberg,UNKNOW,UNKNOW,Scopus,UNKNOW,Gender and health adaptation measures to climate change in the pacific: A case study of papua new guinea,UNKNOW,https://www.scopus.com/inward/record.uri?eid,UNKNOW,2015,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW
Agenda,"The Article investigates perceived climate change trends and the types of ecosystem-based adaptation that were adopted by various gender groups in the Nigerian wooded savannah.The study sourced data via a household survey, key-informant interviews and three focus group discussions in 11 communities in the study area. The study shows that the livelihoods of both male and female groups in the study population are ecosystem based. Perceived changes in the local climate included delay in the onset of rain, reduction in the total annual rainfall and early cessation of the rainy season which affected the livelihoods of men and women differently. Common ecosystem-based adaptation options are based on the impacts and the need for livelihood support, charcoal production by men, while women engaged in gardening and seed harvesting. The study also showed that uncontrolled harvesting of forestry resources without replanting have negative implications for terrestrial ecosystems and the livelihoods of both the male and female population groups in the study area. The study found that sustainable ecosystems will be enriched by involving a full range of capacity development that is beneficial to both gender groups at local and national level. © 2014 G. Oloukoi et al.",UNKNOW,"Lead City University, Ibadan, Nigeria; University of Lagos, Nigeria; Nigerian Institute of Social and Economic Research, Ibadan, Nigeria; Department of Geography, University of Lagos, Nigeria","Lead City University, Ibadan, Nigeria; University of Lagos, Nigeria; Nigerian Institute of Social and Economic Research, Ibadan, Nigeria; Department of Geography, University of Lagos, Nigeria",UNKNOW,"Oloukoi, Grace and Fasona, Mayowa and Olorunfemi, Felix and Adedayo, Vide and Elias, Peter",adaptation; ecosystems; gender; livelihoods; Nigerian savannah,UNKNOW,UNKNOW,UNKNOW,UNKNOW,Article,10.1080/10130950.2014.949477,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,10130950,Agenda,UNKNOW,English,Cited by: 12,3,UNKNOW,16 – 33,UNKNOW,Final,Routledge,UNKNOW,UNKNOW,Scopus,UNKNOW,A gender analysis of perceived climate change trends and ecosystems-based adaptation in the Nigerian wooded savannah,UNKNOW,https://www.scopus.com/inward/record.uri?eid,28,2014,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW
Int. J. Environ. Res. Public Health,"This paper conveys the findings of the first phase of a longitudinal study into climate change adaptation in Atlantic Canada. Men and women from 10 coastal communities in three provinces (Quebec, New Brunswick, and Prince Edward Island) were interviewed to better understand how both sexes perceived and reacted to extreme weather events. Their responses were recorded based on their experiences, personal and community levels of preparedness, as well as help received and effects on their lives. Most importantly, the findings denote that more men were personally prepared and more active in the community than women. More men recognized a deficiency in help at the community level, and were critical of government in particular, addressing a lack of financial interventions and support. Women were forthcoming with their emotions, admitting to feeling fear and worry, and their perceptions in terms of impacts and actions were closer to home. The results support what others have shown that in rural and coastal communities the traditional division of labor may influence and lead to a gender bias in terms of actions and gradual adaptation in communities. There is a need to better understand how these sometimes subtle differences may affect decisions that do not always consider women’s roles and experiences in the face of extreme events. © 2015 by the authors; licensee MDPI, Basel, Switzerland.",UNKNOW,"Department of Biological Sciences, Brock University, 500 Glenridge Avenue, St. Catharines, L2S 3A1, ON, Canada; Department of Geography, Brock University, 500 Glenridge Avenue, St Catharines, L2S 3A1, ON, Canada; Département sociétés, territoires et développement, Université du Québec à Rimouski, 300, Allée des Ursulines, Rimouski, G5L 3A1, QC, Canada","Department of Biological Sciences, Brock University, 500 Glenridge Avenue, St. Catharines, L2S 3A1, ON, Canada; Department of Geography, Brock University, 500 Glenridge Avenue, St Catharines, L2S 3A1, ON, Canada; Département sociétés, territoires et développement, Université du Québec à Rimouski, 300, Allée des Ursulines, Rimouski, G5L 3A1, QC, Canada",UNKNOW,"Vasseur, Liette and Thornbush, Mary and Plante, Steve",Climate change adaptation; Climate-based events; Experiences; Flooding; Gender mainstreaming; Natural hazards; Responses,UNKNOW,UNKNOW,"M. Thornbush; Department of Biological Sciences, Brock University, St. Catharines, 500 Glenridge Avenue, L2S 3A1, Canada; email: mthornbush@brocku.ca",UNKNOW,Article,10.3390/ijerph121012518,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,16617827,International Journal of Environmental Research and Public Health,Adult; Aged; Aged; 80 and over; Climate Change; Female; Humans; Life Change Events; Longitudinal Studies; Male; Middle Aged; New Brunswick; Perception; Prince Edward Island; Quebec; Rural Population; Sex Factors; Weather; Canada; New Brunswick; Prince Edward Island [Canada]; Quebec [Canada]; adaptive management; climate change; extreme event; flooding; gender relations; natural hazard; perception; storm; adaptive behavior; adult; Article; Canada; climate change; controlled study; decision making; fear; female; gender bias; government; human; longitudinal study; male; patient worry; perception; personal experience; rural area; seashore; sex difference; winter; aged; climate change; life event; middle aged; New Brunswick; Prince Edward Island; Quebec; rural population; sex difference; very elderly; weather,English,"Cited by: 15; All Open Access, Gold Open Access, Green Open Access",10,UNKNOW,12518 – 12529,26457714,Final,MDPI,UNKNOW,UNKNOW,Scopus,UNKNOW,Gender-based experiences and perceptions after the 2010 winter storms in Atlantic Canada,UNKNOW,https://www.scopus.com/inward/record.uri?eid,12,2015,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW
Climate Change Manag.,"Rainfall variability and increased temperature over recent years have resulted in increased vulnerability in an already fragile Ethiopian environment. The pattern of rainfall is experiencing both long term change and short term fluctuations and this is seen as a significant threat to Ethiopia’s growth and transformation. Climate change is prompting re-evaluation of existing strategies and the development of flexible models that allow programs to respond to the real and changing needs of rural populations. In carrying out local stakeholder analysis, CARE applies participatory values, processes and methods, to enable communities to articulate and enhance their own knowledge and understanding, and to plan actions accordingly. The Climate Vulnerability and Capacity Analysis (CVCA) methodology helps communities and facilitating organizations to understand the implications of climate change for lives and livelihoods. By combining local knowledge with scientific data, the process builds people’s understanding about climate risks and sustainable adaptation strategies. It provides a framework for dialogue within communities, as well as between communities and other stakeholders. Recognizing that local actors must drive their own development, CVCA prioritizes local knowledge on climate risks and adaptation strategies in the data gathering and response planning process. The CVCA methodology in Ethiopia has been used and adapted to increase understanding among stakeholders, gather and analyze information to design climate change adaptation initiatives, and integrate climate change adaptation issues into livelihoods and natural resource management programs. This paper discusses CARE Ethiopia’s experience of promoting Climate Change Adaptation through building communities’ and partners’ capacity using a range of approaches and more specifically CVCA. © 2017, Springer International Publishing AG.",UNKNOW,"CARE USA, Addis Ababa, Ethiopia; Poverty, Environment and Climate Change Network, CARE International, Dar es Salaam, Tanzania; CARE Ethiopia, Addis Ababa, Ethiopia","CARE USA, Addis Ababa, Ethiopia; Poverty, Environment and Climate Change Network, CARE International, Dar es Salaam, Tanzania; CARE Ethiopia, Addis Ababa, Ethiopia",UNKNOW,"Adem, Alebachew and Deering, Karl and Molla, Samuel",Adaptive capacity; Climate change; Gender; Resilience; Vulnerability,UNKNOW,UNKNOW,"A. Adem; CARE USA, Addis Ababa, Ethiopia; email: alebachew.adem@care.org",UNKNOW,Book chapter,10.1007/978-3-319-49520-0_14,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,16102002,Climate Change Management,UNKNOW,English,Cited by: 4,UNKNOW,UNKNOW,217 – 234,UNKNOW,Final,Springer,UNKNOW,UNKNOW,Scopus,UNKNOW,Building Adaptive Communities Through Integrated Programming: CARE Ethiopia’s Experience with Climate Vulnerability and Capacity Analysis (CVCA),UNKNOW,https://www.scopus.com/inward/record.uri?eid,UNKNOW,2017,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW
Environ. Dev.,"With the increasing impacts of climate change in Africa, a relationship between rainfall and yields in semi-arid Ghana has been observed. Drawing insights from three agrarian societies in the semi-arid region of Ghana using qualitative research methods, the study reports how people currently deal with climate variability as insight on how they will deal with climate change in the future. The findings indicate wide gender inequality in decision making processes and land access resulting from patriarchal local customs and institutions that shape adaptation responses of different vulnerable social groups to climatic or non-climatic stressors. Different adaptation practices of groups indicate that both climatic and non-climatic stressors shape the kind of responses that groups adopt. From the current adaptation practices, efforts to improve adaptation to future climate change at local levels must give attention to the nexus of both climatic and non-climatic stressors, gender, differential vulnerabilities and other subjectivities that produce a particular adaptation practice in a given place. © 2016 Elsevier B.V.",UNKNOW,"Institute for Environment and Sanitation Studies, University of Ghana, P.O. Box LG 209,Legon, Accra, Ghana; Graduate Program in Sustainability Science, The University of Tokyo, 5-1-5 kashiwa, Chiba, Japan; International START Secretariat, 2000 Florida Avenue, N.W., Suite 200, Washington, DC, United States","Institute for Environment and Sanitation Studies, University of Ghana, P.O. Box LG 209,Legon, Accra, Ghana; Graduate Program in Sustainability Science, The University of Tokyo, 5-1-5 kashiwa, Chiba, Japan; International START Secretariat, 2000 Florida Avenue, N.W., Suite 200, Washington, DC, United States",UNKNOW,"Ahmed, Abubakari and Lawson, Elaine T. and Mensah, Adelina and Gordon, Chris and Padgham, Jon",Adaptation; Agrarian; Climate change; Gender; Ghana; Semi-arid,UNKNOW,UNKNOW,UNKNOW,UNKNOW,Article,10.1016/j.envdev.2016.08.002,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,22114645,Environmental Development,UNKNOW,English,Cited by: 82,UNKNOW,UNKNOW,45 – 58,UNKNOW,Final,Elsevier B.V.,UNKNOW,UNKNOW,Scopus,UNKNOW,Adaptation to climate change or non-climatic stressors in semi-arid regions? Evidence of gender differentiation in three agrarian districts of Ghana,UNKNOW,https://www.scopus.com/inward/record.uri?eid,20,2016,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW
The Routledge Handb. of Disaster Risk Reduction including Climate Change Adaptation,"There have been a number of calls to integrate disaster risk reduction (DRR) and climate change adaptation (CCA) strategies within international development policy to reduce people’s livelihood risks. This chapter re-visits what E. Enarson and B. Morrow termed the ‘Gendered Terrain of Disasters’, to examine the ways in which gender has been incorporated into DRR and also into CCA to explore what this means for a gendered DRR including CCA approach. It highlights that, to explain the position and situation of women and men, gender must be understood as intersecting with other sites of oppression. The chapter explores how gender has been conceptualised within the wider development and environment discourses and how in turn this has influenced policy debates around DRR and CCA. It seeks to problematise the ‘engendering’ of the two discourses, seeing a commonality as being a move toward a ‘feminisation’ of responsibility in policy and practice which needs to be addressed in any DRR including CCA approach. © 2017 selection and editorial matter, Ilan Kelman, Jessica Mercer and JC Gaillard; individual chapters, the contributors.",UNKNOW,"Middlesex University, London, United Kingdom; London Universities, United Kingdom","Middlesex University, London, United Kingdom; London Universities, United Kingdom",UNKNOW,"Bradshaw, Sarah and Linneker, Brian",UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,Book chapter,10.4324/9781315684260-13,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,978-131740865-9; 978-113892456-7,UNKNOW,The Routledge Handbook of Disaster Risk Reduction including Climate Change Adaptation,UNKNOW,English,Cited by: 2,UNKNOW,UNKNOW,129 – 139,UNKNOW,Final,Taylor and Francis,UNKNOW,UNKNOW,Scopus,UNKNOW,THE GENDERED TERRAIN OF DISASTER RISK REDUCTION INCLUDING CLIMATE CHANGE ADAPTATION,UNKNOW,https://www.scopus.com/inward/record.uri?eid,UNKNOW,2017,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW
Planning Theory,"To better understand injustice in our cities, and to understand how vulnerability to impacts of climate change is constructed, scholars have noted that we need to incorporate multiple factors that shape identity and power in our analyses, including race, class, gender, ethnicity and sexuality. Less widely acknowledged is the intersectionality of these factors; that specific combinations of factors shape their own social position and thus affect experiences of power, oppression and vulnerability. To address emerging issues like climate change, it is vital to find a way to understand and approach multiple, intersecting axes of identity that shape how impacts will be distributed and experienced. This article introduces intersectionality, a concept for understanding multiple, co-constituting axes of difference and identity, and kyriarchy, a theory of power that describes the power structures intersectionality produces, and offers researchers a fresh way of approaching the interactions of power in planning research and practice. © The Author(s) 2013.",UNKNOW,"Griffith University, Australia","Griffith University, Australia",UNKNOW,"Osborne, Natalie",climate change adaptation; feminism; feminist geography; intersectionality; just city; kyriarchy; social justice,UNKNOW,UNKNOW,"N. Osborne; Urban Research Program, School of Environment, Griffith University, Brisbane, Nathan Campus, 4111, Australia; email: n.osborne@griffith.edu.au",UNKNOW,Article,10.1177/1473095213516443,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,14730952,Planning Theory,adaptation; climate change; climate effect; feminism; planning theory; social justice; theoretical study; vulnerability,English,Cited by: 83,2,UNKNOW,130 – 151,UNKNOW,Final,SAGE Publications Ltd,UNKNOW,UNKNOW,Scopus,UNKNOW,Intersectionality and kyriarchy: A framework for approaching power and social justice in planning and climate change adaptation,UNKNOW,https://www.scopus.com/inward/record.uri?eid,14,2015,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW
Sustainability,"(1) As on-the-ground projects come into existence and continue to expand to adapt to climate change and empower women, it is important to understand their location within Transnational Advocacy Networks (TANs). Using Bhungroo technology, we conduct case-study research to assess the potential of TANs to increase the scope and scale of local projects as well as the ability of similar and emerging projects to create sustainable social and environmental change at local levels; (2) Using the theoretical and cross-disciplinary contributions of Keck and Sikkink and Appiah, our methodology focuses on analyzing interviews and earned media hits data from the UNFCCC Momentum for Change; (3) We find that while TANs may help increase the scale and scope of climate change projects, increasing their ability to effectively reach more people and areas is not completely certain, based on this case study; (4)We conclude by proposing ways women's political participation may be enhanced by similar projects. © 2018 by the authors.",UNKNOW,"Department of Asian and Asian American Studies and Department of Sociology, State University of New York at Stony Brook, New York, 11794, NY, United States","Department of Asian and Asian American Studies and Department of Sociology, State University of New York at Stony Brook, New York, 11794, NY, United States",UNKNOW,"Christoff, Peggy Spitzer and Sommer, Jamie M.",Climate change adaptation; India; Transnational advocacy networks; women's empowerment,UNKNOW,UNKNOW,"P.S. Christoff; Department of Asian and Asian American Studies and Department of Sociology, State University of New York at Stony Brook, New York, 11794, United States; email: peggy.christoff@stonybrook.edu",UNKNOW,Article,10.3390/su10061920,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,20711050,Sustainability (Switzerland),Gujarat; India; adaptive management; advocacy; climate change; empowerment; environmental change; political participation; questionnaire survey; United Nations Framework Convention on Climate Change,English,"Cited by: 7; All Open Access, Gold Open Access",6,UNKNOW,UNKNOW,UNKNOW,Final,MDPI,UNKNOW,UNKNOW,Scopus,UNKNOW,"Women's empowerment and climate change adaptation in Gujarat, India: A case-study analysis of the local impact of Transnational Advocacy Networks",UNKNOW,https://www.scopus.com/inward/record.uri?eid,10,2018,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW
Gend. Dev. Soc. Change.,"The financing of climate change adaptation and mitigation strategies in developing countries is one of the core issue at the heart of the political debate over the global climate protection policy architecture to be set in place by the Paris 2015 agreement, which will govern the global response to climate change from 2020 onwards and will have significant implications for sustainable development in developing countries. This agreement will also have implication for the nature, pace and extent of sustainable development in developing countries. Climate financing is a critical lever for the transformation to low carbon pathways and for undertaking mitigation actions to reduce anthropogenic greenhouse gases emissions which have been identified by science as the key culprit behind global warming. At the same time, financing climate change mitigation and adaptation actions in developing countries, if not carefully managed, can compete for the scarce overseas development assistance (ODA) funds as well as for domestically mobilized funds in developing countries that are important for achieving poverty eradication, social development and gender justice. Climate finance must be managed both at the global level and regional and national level to ensure and promote gender equality and the empowerment of women as key actors both in climate protection and sustainable development efforts. Gender-responsive budgeting exercises and analyses will need to take on board the impacts of climate change as well as its financing for sustained gender justice. This chapter explores the key issues and challenges for gender sensitization of climate finance instruments and mechanisms and undertakes a tentative assessment of what linkages exist between climate finance, fiscal policy and gender-responsive budgeting? © 2017, The Author(s).",UNKNOW,"The South Centre, Geneva, Switzerland","The South Centre, Geneva, Switzerland",UNKNOW,"Williams, Mariama",Adaptation Fund; Clean Development Mechanism; Climate Change Policy; Climate Finance; Gender Equality,UNKNOW,UNKNOW,UNKNOW,UNKNOW,Book chapter,10.1057/978-1-137-46101-8_12,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,27307328,"Gender, Development and Social Change",UNKNOW,English,Cited by: 0,UNKNOW,UNKNOW,273 – 311,UNKNOW,Final,Palgrave Macmillan,UNKNOW,UNKNOW,Scopus,UNKNOW,Climate Finance: Why Does It Matter for Women?,UNKNOW,https://www.scopus.com/inward/record.uri?eid,Part F2188,2017,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW
